Month,MonthlyRainfall_mm,RainyDays,MaxDailyRainfall_mm,MaxDailyRainfallDateTime,Year,Station,StationCode
11,83.0,14,12.0,2017/11/13 00:00:00,2017,Taoyuan,C1C510
12,56.0,12,13.0,2017/12/16 00:00:00,2017,Taoyuan,C1C510
1,27.0,6,9.5,2015/01/13 00:00:00,2015,Taoyuan,C1C510
2,83.0,11,53.5,2015/02/24 00:00:00,2015,Taoyuan,C1C510
3,159.0,17,35.0,2015/03/11 00:00:00,2015,Taoyuan,C1C510
4,96.5,9,30.5,2015/04/21 00:00:00,2015,Taoyuan,C1C510
5,287.0,14,82.0,2015/05/24 00:00:00,2015,Taoyuan,C1C510
6,71.0,5,55.5,2015/06/23 00:00:00,2015,Taoyuan,C1C510
7,18.0,4,6.5,2015/07/10 00:00:00,2015,Taoyuan,C1C510
8,308.5,15,99.5,2015/08/08 00:00:00,2015,Taoyuan,C1C510
9,210.5,7,79.5,2015/09/16 00:00:00,2015,Taoyuan,C1C510
10,87.5,5,69.0,2015/10/09 00:00:00,2015,Taoyuan,C1C510
11,14.0,3,9.5,2015/11/11 00:00:00,2015,Taoyuan,C1C510
12,93.0,12,33.0,2015/12/10 00:00:00,2015,Taoyuan,C1C510
1,31.0,6,25.0,2014/01/14 00:00:00,2014,Taoyuan,C1C510
2,189.5,14,73.5,2014/02/09 00:00:00,2014,Taoyuan,C1C510
3,128.0,14,22.0,2014/03/08 00:00:00,2014,Taoyuan,C1C510
4,83.0,9,34.0,2014/04/24 00:00:00,2014,Taoyuan,C1C510
5,422.0,21,139.5,2014/05/21 00:00:00,2014,Taoyuan,C1C510
6,176.5,11,52.0,2014/06/05 00:00:00,2014,Taoyuan,C1C510
7,67.5,5,38.0,2014/07/23 00:00:00,2014,Taoyuan,C1C510
8,38.0,3,23.0,2014/08/18 00:00:00,2014,Taoyuan,C1C510
9,86.5,2,82.0,2014/09/22 00:00:00,2014,Taoyuan,C1C510
10,37.5,6,22.0,2014/10/09 00:00:00,2014,Taoyuan,C1C510
11,36.0,7,15.5,2014/11/17 00:00:00,2014,Taoyuan,C1C510
12,68.0,12,29.5,2014/12/04 00:00:00,2014,Taoyuan,C1C510
1,48.5,10,16.5,2019/01/16 00:00:00,2019,Taoyuan,C1C510
2,74.5,10,63.0,2019/02/24 00:00:00,2019,Taoyuan,C1C510
3,244.5,17,70.0,2019/03/09 00:00:00,2019,Taoyuan,C1C510
4,145.0,12,68.5,2019/04/21 00:00:00,2019,Taoyuan,C1C510
5,521.5,18,322.5,2019/05/17 00:00:00,2019,Taoyuan,C1C510
6,453.0,13,114.5,2019/06/23 00:00:00,2019,Taoyuan,C1C510
7,75.0,7,34.0,2019/07/27 00:00:00,2019,Taoyuan,C1C510
